,SHSE.600023,SHSE.600089,SHSE.600482,SHSE.600489,SHSE.600522,SHSE.600919,SHSE.601021,SHSE.601633,SHSE.601800,SHSE.601901,SHSE.601985,SHSE.601988,SHSE.603993,SZSE.000413,SZSE.000415,SZSE.000709,SZSE.002202,SZSE.002450,SZSE.002594,SZSE.002831
2017-06-02,5.76999998093,9.47999954224,24.6200008392,9.73999977112,11.3299999237,9.60000038147,34.0,12.1700000763,15.6000003815,9.11999988556,7.78000020981,3.72000002861,4.03999996185,9.85999965668,6.32999992371,4.28999996185,14.9399995804,19.6499996185,49.4399986267,68.3300018311
2017-06-05,5.73999977112,9.60999965668,24.75,10.0500001907,11.3800001144,9.52999973297,33.5299987793,12.1999998093,15.5500001907,9.07999992371,7.69000005722,3.63000011444,4.07000017166,9.93000030518,6.40000009537,4.30000019073,14.9899997711,19.8999996185,50.2000007629,69.7300033569
2017-06-06,5.69999980927,9.63000011444,25.3400001526,10.1400003433,11.3999996185,9.34000015259,33.1800003052,12.1800003052,15.6099996567,9.11999988556,7.76000022888,3.6400001049,4.09000015259,9.93999958038,6.42000007629,4.28999996185,14.9399995804,20.2299995422,50.0,69.8000030518
2017-06-07,5.71000003815,9.67000007629,26.0100002289,10.220000267,11.4899997711,9.36999988556,33.4900016785,12.220000267,15.8199996948,9.09000015259,7.76000022888,3.67000007629,4.15999984741,10.1199998856,6.51999998093,4.40999984741,15.1000003815,20.4599990845,50.5,70.1900024414
2017-06-08,5.67999982834,9.65999984741,25.7199993134,10.1499996185,11.4899997711,9.39000034332,33.7700004578,12.2100000381,15.8500003815,9.18999958038,7.76000022888,3.67000007629,4.17000007629,10.0399999619,6.5,4.38000011444,15.1300001144,20.3400001526,50.5,69.9899978638
2017-06-09,5.69000005722,9.97000026703,26.5900001526,10.029999733,11.5799999237,9.38000011444,32.6100006104,12.75,16.1900005341,8.97000026703,7.90999984741,3.66000008583,4.19999980927,10.0,6.55000019073,4.36000013351,15.4200000763,20.6000003815,50.2400016785,71.2799987793
2017-06-12,5.71999979019,9.81000041962,25.8199996948,9.96000003815,11.3800001144,9.31999969482,32.0299987793,13.8599996567,16.0,8.97999954224,7.94000005722,3.6400001049,4.21999979019,10.1300001144,6.40999984741,4.28999996185,15.5500001907,20.1700000763,50.5,70.4800033569
2017-06-13,5.71999979019,9.85999965668,26.0,10.0699996948,11.3900003433,9.27999973297,32.2400016785,13.6700000763,15.8199996948,8.97000026703,7.94999980927,3.6400001049,4.5,10.4799995422,6.46999979019,4.32000017166,15.5600004196,20.4300003052,51.8199996948,71.3799972534
2017-06-14,5.75,9.81999969482,26.1499996185,10.1400003433,11.3000001907,9.21000003815,31.9799995422,13.3199996948,15.6499996185,8.98999977112,7.88999986649,3.63000011444,4.55000019073,10.5699996948,6.44999980927,4.30000019073,15.3400001526,20.8099994659,51.5999984741,70.4800033569
2017-06-15,5.44999980927,9.75,26.2900009155,10.1099996567,11.3000001907,9.23999977112,32.25,13.279999733,15.7299995422,9.40999984741,7.82000017166,3.6099998951,4.61999988556,10.5500001907,6.53000020981,4.38000011444,15.3299999237,20.8899993896,51.7000007629,70.9199981689
